Table with row headers in column A and column headers in rows 4 through 5,,,,,,,,,,,,,,,
"Table A-2.
Households by Total Money Income, Race, and Hispanic Origin of Householder: 1967 to 2023",,,,,,,,,,,,,,,
"(Income in 2023 dollars, adjusted using the C-CPI-U (2000-2023) and R-CPI-U-RS (pre-2000). Households as of March of the following year. Information on confidentiality protection, sampling error, nonsampling error, and definitions is available at <https://www2.census.gov/programs-surveys/cps/techdocs/cpsmar24.pdf>)",,,,,,,,,,,,,,,
"Race and Hispanic origin of householder
and year1",Number (thousands),Percent distribution,,,,,,,,,,"Median income
(dollars)",,"Mean income
(dollars)",
,,Total,"Under $15,000","$15,000
to
$24,999","$25,000
to
$34,999","$35,000
to
$49,999","$50,000
to
$74,999","$75,000
to
$99,999","$100,000
to
$149,999","$150,000
to
$199,999","$200,000 and over",Estimate,Margin of error2 (±),Estimate,Margin of error2 (±)
ALL RACES,,,,,,,,,,,,,,,
2023,"132,200",100,7.4,6.7,6.9,10.3,15.7,12.1,17.0,9.5,14.4,"80,610",634,"114,500","1,098"
2022,"131,400",100,8.1,7.2,7.4,10.4,15.9,12.2,16.7,9.3,12.9,"77,540","1,006","110,600","1,075"
2021,"131,200",100,8.1,7.4,7.2,9.9,15.3,11.9,16.4,9.3,14.4,"79,260",678,"114,600","1,153"
2020 3,"129,200",100,7.6,7.4,6.8,10.6,15.2,12.3,16.5,9.3,14.2,"79,560","1,030","114,000","1,227"
2019,"128,500",100,7.3,7.0,6.7,10.6,15.5,11.9,17.1,9.4,14.6,"81,210","1,069","115,900","1,232"
2018,"128,600",100,8.3,7.5,7.2,10.9,15.8,12.5,16.6,9.0,12.3,"75,790",829,"108,000","1,077"
2017 4,"127,700",100,8.4,7.8,7.5,11.3,15.5,12.1,16.3,8.7,12.5,"74,810",647,"107,300","1,148"
2017,"127,600",100,8.4,7.8,7.6,11.3,15.2,12.2,16.4,9.0,12.1,"75,100",674,"105,500","1,047"
2016,"126,200",100,8.6,7.8,7.8,11.4,15.8,12.3,16.3,8.6,11.5,"73,520",893,"103,500",961
2015,"125,800",100,8.4,8.3,8.6,11.3,15.4,12.3,16.3,8.9,10.5,"71,000",663,"99,580",833
2014,"124,600",100,9.3,8.7,8.8,11.5,15.9,12.4,15.4,8.3,9.8,"67,360",810,"95,080",921
2013 5,"123,900",100,9.2,8.9,8.7,11.1,15.8,12.7,15.6,8.0,9.8,"68,220","1,370","95,740","1,391"
2013 6,"123,000",100,9.1,9.3,8.5,11.8,16.4,12.8,15.5,7.9,8.7,"66,130",578,"92,490","1,045"
2012,"122,500",100,9.1,9.2,9.1,11.9,16.3,12.6,15.6,7.8,8.4,"65,740",443,"91,850",892
2011,"121,100",100,9.3,8.9,9.1,12.4,16.4,12.6,15.2,7.8,8.4,"65,750",542,"91,520",795
2010 7,"119,900",100,9.3,9.0,8.8,11.7,16.6,12.3,15.9,7.8,8.6,"66,730",724,"91,270",802
2009 8,"117,500",100,8.5,8.6,9.0,11.9,16.4,12.8,16.2,7.8,8.8,"68,340",481,"93,320",549
2008,"117,200",100,8.4,8.7,8.8,11.8,16.2,12.7,16.6,8.0,8.8,"68,780",308,"93,560",544
2007,"116,800",100,8.0,8.6,8.0,11.8,16.3,12.8,16.9,8.4,9.1,"71,210",326,"95,840",550
2006,"116,000",100,8.1,8.3,8.2,11.8,17.1,12.4,16.7,8.2,9.2,"70,080",495,"96,780",615
2005,"114,400",100,8.5,8.5,8.2,11.8,17.0,12.7,16.5,8.1,8.8,"69,310",381,"94,770",588
2004 9,"113,300",100,8.4,8.9,8.3,12.2,16.2,13.0,16.5,8.1,8.4,"68,250",496,"93,080",577
2003,"112,000",100,8.4,8.9,8.4,11.7,16.4,12.9,16.5,8.3,8.4,"68,350",488,"93,200",561
2002,"111,300",100,8.3,8.8,8.1,12.1,16.5,12.9,16.9,8.2,8.1,"68,310",368,"93,190",575
2001,"109,300",100,8.0,8.7,8.2,11.9,16.8,13.2,16.8,8.1,8.4,"68,870",346,"94,930",622
2000 10,"108,200",100,7.7,8.3,8.2,11.5,17.2,13.1,17.5,8.0,8.6,"70,020",362,"95,280",617
1999 11,"106,400",100,7.6,8.4,8.6,11.5,17.1,13.0,17.4,8.1,8.3,"70,210",539,"94,430",806
