MajorCity,Year,AvgHouseholdMedianIncome
"Abilene, TX",2011.0,43631.6
"Abilene, TX",2012.0,44059.6
"Abilene, TX",2013.0,44435.2
"Abilene, TX",2014.0,44569.0
"Abilene, TX",2015.0,45575.8
"Abilene, TX",2016.0,46204.8
"Abilene, TX",2017.0,48760.8
"Abilene, TX",2018.0,50247.0
"Abilene, TX",2019.0,52244.0
"Abilene, TX",2020.0,54927.8
"Abilene, TX",2021.0,58003.0
"Akron, OH",2011.0,33307.0
"Akron, OH",2012.0,32556.0
"Akron, OH",2013.0,33288.8
"Akron, OH",2014.0,33499.4
"Akron, OH",2015.0,33720.4
"Akron, OH",2016.0,34830.0
"Akron, OH",2017.0,35925.2
"Akron, OH",2018.0,37100.0
"Akron, OH",2019.0,39008.2
"Akron, OH",2020.0,41519.6
"Akron, OH",2021.0,43672.2
"Albany, GA",2011.0,37002.5
"Albany, GA",2012.0,36477.75
"Albany, GA",2013.0,35916.0
"Albany, GA",2014.0,35468.0
"Albany, GA",2015.0,35947.0
"Albany, GA",2016.0,38171.75
"Albany, GA",2017.0,38955.0
"Albany, GA",2018.0,41497.25
"Albany, GA",2019.0,43176.5
"Albany, GA",2020.0,42877.5
"Albany, GA",2021.0,44960.5
"Albany, NY",2011.0,44151.8
"Albany, NY",2012.0,45258.8
"Albany, NY",2013.0,45047.8
"Albany, NY",2014.0,44627.8
"Albany, NY",2015.0,43920.4
"Albany, NY",2016.0,45436.0
"Albany, NY",2017.0,46262.8
"Albany, NY",2018.0,48165.4
"Albany, NY",2019.0,51826.4
"Albany, NY",2020.0,53729.6
"Albany, NY",2021.0,59029.6
"Albany, OR",2011.0,50130.0
"Albany, OR",2012.0,50681.0
"Albany, OR",2013.0,51361.0
"Albany, OR",2014.0,49450.0
"Albany, OR",2015.0,50843.0
"Albany, OR",2016.0,54514.5
"Albany, OR",2017.0,57500.5
"Albany, OR",2018.0,60185.0
"Albany, OR",2019.0,64395.0
"Albany, OR",2020.0,68127.5
"Albany, OR",2021.0,74360.0
"Albuquerque, NM",2011.0,36018.75
"Albuquerque, NM",2012.0,35840.5
"Albuquerque, NM",2013.0,35768.25
"Albuquerque, NM",2014.0,35387.25
"Albuquerque, NM",2015.0,34694.25
"Albuquerque, NM",2016.0,34782.75
"Albuquerque, NM",2017.0,36741.0
"Albuquerque, NM",2018.0,38302.0
"Albuquerque, NM",2019.0,39855.0
"Albuquerque, NM",2020.0,43710.75
"Albuquerque, NM",2021.0,45166.75
"Alexandria, LA",2011.0,36527.666666666664
"Alexandria, LA",2012.0,38649.333333333336
"Alexandria, LA",2013.0,36575.666666666664
"Alexandria, LA",2014.0,37257.666666666664
"Alexandria, LA",2015.0,36814.333333333336
"Alexandria, LA",2016.0,37512.333333333336
"Alexandria, LA",2017.0,36265.666666666664
"Alexandria, LA",2018.0,38420.666666666664
"Alexandria, LA",2019.0,40558.666666666664
"Alexandria, LA",2020.0,40039.666666666664
"Alexandria, LA",2021.0,42977.666666666664
"Allentown, PA",2011.0,44057.4
"Allentown, PA",2012.0,45561.2
"Allentown, PA",2013.0,46949.0
"Allentown, PA",2014.0,46374.0
"Allentown, PA",2015.0,46725.6
"Allentown, PA",2016.0,47610.8
"Allentown, PA",2017.0,48367.8
"Allentown, PA",2018.0,50764.4
"Allentown, PA",2019.0,51773.6
"Allentown, PA",2020.0,54729.8
"Allentown, PA",2021.0,58707.0
"Altoona, PA",2011.0,38902.0
"Altoona, PA",2012.0,38096.0
"Altoona, PA",2013.0,38645.5
"Altoona, PA",2014.0,38891.5
"Altoona, PA",2015.0,38985.0
"Altoona, PA",2016.0,39019.5
"Altoona, PA",2017.0,40735.0
"Altoona, PA",2018.0,42486.0
"Altoona, PA",2019.0,43491.0
"Altoona, PA",2020.0,44755.0
"Altoona, PA",2021.0,48354.5
"Amarillo, TX",2011.0,34314.6
"Amarillo, TX",2012.0,34527.8
"Amarillo, TX",2013.0,34989.8
"Amarillo, TX",2014.0,35214.2
"Amarillo, TX",2015.0,35171.2
"Amarillo, TX",2016.0,37117.2
"Amarillo, TX",2017.0,39349.6
"Amarillo, TX",2018.0,40169.6
"Amarillo, TX",2019.0,39159.8
"Amarillo, TX",2020.0,43253.8
"Amarillo, TX",2021.0,45457.2
"Ames, IA",2011.0,44041.5
"Ames, IA",2012.0,42728.0
"Ames, IA",2013.0,42925.0
"Ames, IA",2014.0,43098.5
"Ames, IA",2015.0,42473.5
"Ames, IA",2016.0,43027.5
"Ames, IA",2017.0,45025.5
"Ames, IA",2018.0,48114.5
"Ames, IA",2019.0,50125.0
"Ames, IA",2020.0,52591.0
"Ames, IA",2021.0,55958.0
"Anchorage, AK",2011.0,66019.6
"Anchorage, AK",2012.0,68190.4
"Anchorage, AK",2013.0,71358.4
"Anchorage, AK",2014.0,70552.6
"Anchorage, AK",2015.0,70343.0
"Anchorage, AK",2016.0,71988.4
"Anchorage, AK",2017.0,73062.2
"Anchorage, AK",2018.0,71559.6
